sii_id,codigo,fecha,corte,instancia,resumen
173,16013-2013,2014-08-20,Corte Suprema,Corte Suprema,"ARTÍCULOS 19 Y 23 DEL CÓDIGO CIVIL- ARTÍCULO 13 DE LA LEY N° 19.880 DE BASES DE PROCEDIMIENTOS ADMINISTRATIVOS-ARTÍCULOS 12, 63, INCISO FINAL, Y 200, INCISO 4°, DEL CÓDIGO TRIBUTAR"
178,GR-10-00019-2012,2012-12-07,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Biobío,Ley sobre Impuesto a la Renta – Artículos 70 y 71
179,1283-2015,2015-11-19,Corte de Apelaciones,Corte de Apelaciones de Santiago,"ARTÍCULO 97 N° 4 INCISOS 1°, 2° Y 5° DEL CÓDIGO TRIBUTARIO"
184,94-2015,2015-09-29,Corte de Apelaciones,Corte de Apelaciones de Santiago,LEY N° 19.880
185,94-2014,2014-10-06,Corte de Apelaciones,Corte de Apelaciones de Santiago,ARTÍCULO 346 Y 347 DEL CÓDIGO DE PROCEDIMIENTO CIVIL-ARTÍCULO 139 DEL CÓDIGO TRIBUTARIO-ARTÍCULO 41 A Y SIGUIENTES DE LA LEY SOBRE IMPUESTO A LA RENTA
188,10174-2015,2016-06-02,Corte Suprema,Corte Suprema,Crédito Fiscal - Efectividad material de las operaciones
191,24-2014,2014-11-05,Corte de Apelaciones,Corte de Apelaciones de La Serena,CÓDIGO TRIBUTARIO - ARTÍCULO 124 – ARTÍCULO 125
197,24992-14,2015-08-13,Corte Suprema,Corte Suprema,"ARTÍCULO 21 INCISO 3° LEY SOBRE IMPUESTO A LA RENTA- ARTÍCULOS 356, 365, 366, 384 Y 426 DEL CÓDIGO DE PROCEDIMIENTO CIVIL."
200,GR-10-00026-2012,2012-11-20,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Biobío,Código Tributario – Artículo 132 incisos 11 y 15 – Ley sobre Impuesto a la Renta – Artículo 70
213,18938-2014,2015-04-22,Corte Suprema,Corte Suprema,CÓDIGO TRIBUTARIO – ARTÍCULO 59 INCISO PRIMERO
214,4-2014,2014-07-29,Corte de Apelaciones,Corte de Apelaciones de La Serena,ARTÍCULO 70 LEY SOBRE IMPUESTO A LA RENTA-ARTÍCULO 148 CÓDIGO DE COMERCIO-ARTÍCULO 684 N° 4 CÓDIGO DE PROCEDIMIENTO CIVIL
216,GR-06-00047-2013,2014-07-11,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Coquimbo,"ARTÍCULO 17 N° 2 DEL D.L. N° 824, DE 1974."
225,67-2013,2014-11-20,Corte de Apelaciones,Corte de Apelaciones de Temuco,LEY 19.880 - ARTÍCULO 14 INCISO FINAL
230,GR-07-00061-2013,2014-11-28,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Maule,CÓDIGO TRIBUTARIO – ARTÍCULO 21
231,GR-18-00552-2013,2017-07-28,Tribunal Tributario y Aduanero,Cuarto Tribunal Tributario y Aduanero de la Región Metropolitana,ARTÍCULO 70 DE LA LEY SOBRE IMPUESTO A LA RENTA
239,GR-02-00055-2012,2013-03-06,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Tarapacá,"Código Tributario – Artículos 64 y 200 – Ley sobre Impuesto a las Ventas y Servicios – Artículos 23, 25 – Ley sobre Impuesto a la Renta – Artículos 31, 35"
242,2081-2011,2013-01-29,Corte Suprema,Corte Suprema,Código de Procedimiento Civil – Artículo 772
244,GR-17-00092-2014,2016-02-10,Tribunal Tributario y Aduanero,Tercer Tribunal Tributario y Aduanero de la Región Metropolitana,ARTÍCULO 12 LETRA E N° 17 DE LA LEY SOBRE IMPUESTO A LAS VENTAS Y SERVICIOS
247,7111-2013,2014-08-11,Corte Suprema,Corte Suprema,LEY 18.320-ARTÍCULO 21 Y 30 LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 21 Y 200 CÓDIGO TRIBUTARIO
250,GR-07-00043-2012,2013-05-09,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Maule,Ley sobre Impuesto a la Renta – Artículo 20 N° 1 letra d) – Código Tributario – Artículo 132 inciso 11
253,1732-2015,2016-01-25,Corte Suprema,Corte Suprema,ARTÍCULO 21 DEL DECRETO LEY N° 910 – ARTÍCULO 35 DE LA LEY SOBRE IMPUESTO A LA RENTA
257,373-2012,2012-04-10,Corte Suprema,Corte Suprema,Código Tributario – Artículo 97 N° 4 inciso 1°
268,GR-09-00014-2011,2012-05-08,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Magallanes y la Antártica Chilena,"Código Tributario – Artículo 127 – Ley sobre Impuesto a la Renta – Artículo 29, 30 y 31"
272,3429-2015,2016-01-25,Corte Suprema,Corte Suprema,ARTÍCULO 41 B INCISO SEGUNDO N° 4 DE LA LEY SOBRE IMPUESTO A LA RENTA
281,60-2012,2013-04-24,Corte de Apelaciones,Corte de Apelaciones de Temuco,Ley sobre Impuesto a las Ventas y Servicios – Artículo 23 número 5
282,GR-10-00044-2012,2012-12-26,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Biobío,"Código Tributario – Artículo 21, 65 y 97 N° 6 – Ley sobre Impuesto a la Renta – Artículos 35 y 64"
286,3422-2013,2013-11-26,Corte Suprema,Corte Suprema,"ARTÍCULOS 21, 24, 63 Y 69 DEL CÓDIGO TRIBUTARIO - ARTÍCULO 768 N° 9, Y LOS NUMERALES 3 Y 4 DEL ARTÍCULO 795, AMBOS DEL CÓDIGO DE PROCEDIMIENTO CIVIL - ARTÍCULOS 1700 Y 1702 DEL CÓD"
292,GR-04-00008-2012,2013-04-05,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Atacama,Código Tributario – Artículo 27 – Ley sobre Impuesto a la Renta – Artículo 35
298,24153-14,2015-10-06,Corte Suprema,Corte Suprema,ARTÍCULO 15 DE LA LEY SOBRE IMPUESTO A LA RENTA
300,4992-2013,2014-01-13,Corte Suprema,Corte Suprema,ARTÍCULOS 51 Y 162 DEL CÓDIGO TRIBUTARIO – ARTÍCULO 2521 DEL CÓDIGO CIVIL
306,10207-2011,2013-05-14,Corte Suprema,Corte Suprema,Ley sobre Impuesto a la Renta – Artículo 17 N° 8 letra b) – Código Tributario – Artículo 26
322,GR-10-00087-2012,2013-04-11,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Biobío,Código Tributario – Artículo 21 – Ley sobre Impuesto a las Ventas y Servicios – Artículos 23 N° 5
325,GR-14-00133-2014,2015-08-26,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Valparaíso,ARTÍCULO 27 BIS DE LA LEY SOBRE IMPUESTO A LAS VENTAS Y SERVICIOS
334,1186-2011,2013-04-23,Corte Suprema,Corte Suprema,Ley sobre Impuesto a las Ventas y Servicios – Artículo 23 N° 5
336,GR-18-00301-2013,2015-09-04,Tribunal Tributario y Aduanero,Cuarto Tribunal Tributario y Aduanero de la Región Metropolitana,ARTÍCULOS 53 Y 126 DEL CÓDIGO TRIBUTARIO
338,GR-15-00075-2013,2014-02-20,Tribunal Tributario y Aduanero,Primer Tribunal Tributario y Aduanero de la Región Metropolitana,ARTÍCULO 125 N° 4° DEL CÓDIGO TRIBUTARIO
340,14092015-1,2015-09-14,Corte de Apelaciones,Corte de Apelaciones de Punta Arenas,ARTÍCULO 21 DEL CÓDIGO TRIBUTARIO – ARTÍCULO 1.689 DEL CÓDIGO CIVIL – ARTÍCULO 10 DE LA LEY N° 18.392
341,GR-15-00075-2015,2015-09-10,Tribunal Tributario y Aduanero,Primer Tribunal Tributario y Aduanero de la Región Metropolitana,"ARTÍCULO 41 E N° 6 DE LA LEY SOBRE IMPUESTO A LA RENTA - ARTÍCULOS 19 N° 21, 22, 24 DE LA CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA - ARTÍCULOS 131 BIS, 132, 148, 155 Y 200 DEL CÓDIGO "
346,55-2015,2015-04-22,Corte de Apelaciones,Corte de Apelaciones de Santiago,CÓDIGO TRIBUTARIO – ARTÍCULO 97 N° 4 – LEY SOBRE IMPUESTO A LAS VENTAS Y SERVICIOS – ARTÍCULO 23 N° 5
347,GR-08-00018-2012,2012-08-16,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de la Araucanía,"Código Tributario – Artículos 17, 21 y 132 – Ley sobre Impuesto a la Renta – Artículos 31 N° 3 y 70"
350,12915—2014,2015-01-26,Corte Suprema,Corte Suprema,ARTÍCULO 21 DEL CÓDIGO TRIBUTARIO - ARTÍCULO 23 N° 5 DE LA LEY SOBRE IMPUESTO A LAS VENTAS Y SERVICIOS - ARTÍCULO 200 DEL CÓDIGO TRIBUTARIO- ARTÍCULOS 19 Y 21 DEL CÓDIGO -ARTÍCULO 
354,GR-10-00030-2012,2012-10-25,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Biobío,"Código Tributario – Artículo 123 - Ley sobre Impuesto a las Herencias, Asignaciones y Donaciones – Artículos 46 y 46 bis."
357,GS-11-00006-2013,2013-04-05,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Los Ríos,Código Tributario – Artículo 97 N° 9
359,GR-10-00030-2015,2016-01-11,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Biobío,Costo – Gastos necesarios - Depreciación – Artículos 30 y 31 N° 5 de la Ley sobre Impuesto a la Renta
360,DESCONOCIDO 4298,2016-03-15,Corte de Apelaciones,Corte de Apelaciones de Valdivia,ARTÍCULO 97 N° 4 INCISOS 1° Y 2° DEL CÓDIGO TRIBUTARIO
361,GR-07-00050-2012,2014-02-07,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Maule,ARTÍCULOS 29 A 32 DE LA LEY SOBRE IMPUESTO A LA RENTA
362,GR-10-00083-2012,2014-12-30,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Biobío,LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 31 N° 1
364,5047-2013,2014-07-01,Corte Suprema,Corte Suprema,"D.F.L. N° 119 DE 1953 - ARTÍCULOS 2, INCISO 1°, DE LA LEY N° 17.235 Y SU CUADRO ANEXO, 12 DE LA LEY N° 17.288 - 19 AL 24 DEL CÓDIGO CIVIL - ARTÍCULOS 6 Y 7, 19 NºS. 2, 20 Y 22, 63 "
365,25-2015,2016-01-08,Corte de Apelaciones,Corte de Apelaciones de Puerto Montt,ARTÍCULO 31 N° 3 INCISOS 1° Y 2° DE LA LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 200 DEL CÓDIGO TRIBUTARIO
369,23456-2014,2016-01-21,Corte Suprema,Corte Suprema,ARTÍCULOS 41 B N° 4 Y 41 N° 4 DE LA LEY SOBRE IMPUESTO A LA RENTA
370,GR-10-00184-2013,2014-11-11,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Biobío,Código Tributario - Artículo 125 N° 4
371,AB-19-00024-2015,2017-05-30,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Libertador General Bernardo O`Higgins,"Impuesto Territorial – Tabla de clasificación – Artículos 1, 3 y 15 de la Ley N° 17.235 – Artículo 149 N° 2 del Código Tributario"
372,20-2014,2014-09-01,Corte de Apelaciones,Corte de Apelaciones de San Miguel,ARTÍCULO 21 Y 200 INCISO 2° DEL CÓDIGO TRIBUTARIO.
376,VD-08-00075-2012,2012-12-07,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de la Araucanía,"Código Tributario – Artículo 8 bis Nos 2°, 5° y 8° – Artículo 155"
377,27-2015,2015-08-27,Corte de Apelaciones,Corte de Apelaciones de Valparaíso,ARTÍCULOS 59 Y 200 DEL CÓDIGO TRIBUTARIO
380,3300-2013,2013-07-31,Corte de Apelaciones,Corte de Apelaciones de Santiago,Ley sobre Impuesto a la Renta – Artículo 31 N° 3
381,VD-10-00048-2015,2015-10-28,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Biobío,ARTÍCULO 8 BIS N° 2 Y 59 DEL CÓDIGO TRIBUTARIO – ARTÍCULO 97 INCISO 1° LEY SOBRE IMPUESTO A LA RENTA
385,158-2014,2015-05-08,Corte de Apelaciones,Corte de Apelaciones de Santiago,CÓDIGO TRIBUTARIO- ARTÍCULO 132 INCISO NÚMERO 11
386,ES-10-00054-2015,2015-10-07,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Biobío,ARTÍCULO 97 N° 10 y N°17 DEL CÓDIGO TRIBUTARIO
396,GR-10-00080-2014,2015-04-21,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Biobío,CÓDIGO TRIBUTARIO – ARTÍCULO 36 BIS
397,GR-18-00006-2014,2016-01-14,Tribunal Tributario y Aduanero,Cuarto Tribunal Tributario y Aduanero de la Región Metropolitana,ARTÍCULO 3° DE LA LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 8° DEL CÓDIGO TRIBUTARIO – ARTÍCULO 59 DEL CÓDIGO CIVIL
406,71-2012,2013-04-22,Corte de Apelaciones,Corte de Apelaciones de Temuco,Código Tributario –Artículo 200 – Ley 18.320 – Artículo Único Número 3
411,ES-08-00017-2012,2012-04-11,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de la Araucanía,Código Tributario – Artículo 97 N° 10 – Ley sobre Impuesto a las Ventas y Servicios – Artículo 55
412,ES-19-00016-2015,2016-02-01,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Libertador General Bernardo O`Higgins,ARTÍCULO 97 N° 6 INCISO 1° Y 109 DEL CÓDIGO TRIBUTARIO
414,GS-07-00016-2011,2012-02-06,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Maule,"Código Tributario – Artículos 21, 97 N° 4 incisos 1° y 2°, Artículos 132 y 161 – Ley sobre Impuesto a las Ventas y Servicios – Artículo 23 N° 5"
417,7642-2009,2012-03-22,Corte Suprema,Corte Suprema,"Código Tributario – Artículos 24, 136 y 200"
418,49-2014,2015-06-26,Corte de Apelaciones,Corte de Apelaciones de Concepción,LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 31
419,28571-2014,2015-10-07,Corte Suprema,Corte Suprema,LEY N° 18.320 – ARTÍCULO 59 DEL CÓDIGO TRIBUTARIO
421,6471-09,2013-01-09,Corte Suprema,Corte Suprema,Código Tributario – Artículo 200 y 21 – Ley sobre Impuesto a la Renta – Artículo 31
423,7226-2013,2014-10-01,Corte Suprema,Corte Suprema,"ARTÍCULOS 4 Y 13 DEL CÓDIGO CIVIL- ARTÍCULO 1°, 35, 38, 58, 65 N°1, 69 INCISO 1° Y 72 INCISO 1° DE LA LEY SOBRE IMPUESTO A LA RENTA."
425,27-2014,2014-09-22,Corte de Apelaciones,Corte de Apelaciones de San Miguel,ARTÍCULO 67 Nº 6 DE LA LEY DE SOCIEDADES ANÓNIMAS - ARTÍCULO 14 Y 31 N° 5 INCISO 3° DE LEY SOBRE IMPUESTO A LA RENTA.
426,538-2014,2014-12-15,Corte Suprema,Corte Suprema,"ARTÍCULOS 2 DE LA LEY N° 18.575- ARTÍCULO 11 INCISO 2° Y 41 INCISO 4° DE LA LEY 19.880- ARTÍCULOS 19 N° 20, 63 N° 14 Y 65 INCISO 4° N° 1 DE LA CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA"
434,GR-07-00007-2012,2012-08-17,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Maule,"Ley sobre Impuesto a las Ventas y Servicios – Artículo 36 – Decreto Supremo N° 348, de Hacienda, de 1975 – Artículos 2° y 5°"
435,GR-07-00007-2011,2012-03-13,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Maule,"Código Tributario – Artículos 21 y 132 – Ley sobre Impuesto a la Renta – Artículos 70 y 71 – Código Civil – Artículos 1709, 2116 y 2196"
444,6474-2013,2014-05-28,Corte Suprema,Corte Suprema,ARTÍCULO 21 Y 53 CÓDIGO TRIBUTARIO –ARTÍCULO 31 N°3 LEY SOBRE IMPUESTO A LA RENTA-ARTÍCULO 768 N° 4 CÓDIGO DE PROCEDIMIENTO CIVIL- ARTÍCULO 1698 CÓDIGO CIVIL
445,GR-15-00096-2014,2014-11-27,Tribunal Tributario y Aduanero,Primer Tribunal Tributario y Aduanero de la Región Metropolitana,CÓDIGO TRIBUTARIO – ARTÍCULO 21 – ARTÍCULO 132
